run_at,source,plates_checked,plates_ok,plates_empty,plates_with_fines,plates_error,fines_on_record,new_fines,status
2026-09-10 15:35:43,protocol,64,64,55,9,0,10,0,ok
2026-09-10 15:35:43,municipal,64,64,64,0,0,0,0,ok
2026-09-10 11:39:47,protocol,64,64,55,9,0,10,0,ok
2026-09-10 11:39:47,municipal,64,64,64,0,0,0,0,ok
2026-09-10 16:32:13,protocol,381,381,367,14,0,15,5,ok
2026-09-10 16:32:13,municipal,381,381,381,0,0,0,0,ok
2026-09-10 16:48:43,protocol,381,381,367,14,0,15,0,ok
2026-09-10 16:48:43,municipal,381,381,381,0,0,0,0,ok
2026-09-11 13:19:28,protocol,381,381,368,13,0,14,0,ok
2026-09-11 13:19:28,municipal,381,381,381,0,0,0,0,ok
2026-09-12 12:59:13,protocol,381,381,368,13,0,14,0,ok
2026-09-12 12:59:13,municipal,381,381,381,0,0,0,0,ok
2026-09-13 13:55:45,protocol,381,381,368,13,0,14,0,ok
2026-09-13 13:55:45,municipal,381,381,381,0,0,0,0,ok
2026-09-14 14:16:35,protocol,381,381,368,13,0,14,0,ok
2026-09-14 14:16:35,municipal,381,381,381,0,0,0,0,ok
2026-09-15 13:44:46,protocol,381,381,368,13,0,14,0,ok
2026-09-15 13:44:46,municipal,381,381,381,0,0,0,0,ok
2026-09-16 13:38:36,protocol,381,381,368,13,0,14,0,ok
2026-09-16 13:38:36,municipal,381,381,381,0,0,0,0,ok
